City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.3333,57.79,79,20,6.62,few clouds
1,Hervey Bay,AU,-25.2986,152.8535,71.02,77,66,5.01,broken clouds
2,New Norfolk,AU,-42.7826,147.0587,54.72,62,100,1.01,overcast clouds
3,Narsaq,GL,60.9167,-46.05,41.61,57,74,6.22,broken clouds
4,Tuktoyaktuk,CA,69.4541,-133.0374,64.4,55,75,10.36,broken clouds
5,Rikitea,PF,-23.1203,-134.9692,73.51,75,0,8.61,clear sky
6,Busselton,AU,-33.65,115.3333,56.86,65,0,9.62,clear sky
7,Lorengau,PG,-2.0226,147.2712,86.02,66,100,11.99,overcast clouds
8,Lagoa,PT,39.05,-27.9833,71.35,80,100,8.43,overcast clouds
9,Barrow,US,71.2906,-156.7887,39.22,93,100,19.57,mist
10,Ushuaia,AR,-54.8,-68.3,42.46,75,75,17.27,light rain
11,Punta Arenas,CL,-53.15,-70.9167,39.31,81,40,18.41,scattered clouds
12,Fairbanks,US,64.8378,-147.7164,67.08,57,100,1.01,overcast clouds
13,Albany,US,42.6001,-73.9662,66.43,76,16,5.66,few clouds
14,Novomikhaylovskiy,RU,44.2581,38.8578,74.59,66,0,5.23,clear sky
15,Mahibadhoo,MV,3.7833,72.9667,80.02,80,100,16.67,overcast clouds
16,Puerto Ayora,EC,-0.7393,-90.3518,69.55,91,74,7.0,broken clouds
17,Hobart,AU,-42.8794,147.3294,55.06,85,75,17.27,broken clouds
18,Qaanaaq,GL,77.484,-69.3632,28.85,71,10,5.44,clear sky
19,Mataura,NZ,-46.1927,168.8643,57.47,62,59,4.43,broken clouds
20,Bardejov,SK,49.2918,21.2727,55.27,65,100,5.44,overcast clouds
21,Hasaki,JP,35.7333,140.8333,88.29,79,5,23.15,clear sky
22,Cidreira,BR,-30.1811,-50.2056,59.74,86,0,17.94,clear sky
23,Abha,SA,18.2164,42.5053,62.42,34,0,0.0,clear sky
24,Saint-Francois,FR,46.4154,3.9054,58.44,94,0,0.0,clear sky
25,Vaini,TO,-21.2,-175.2,71.47,71,1,19.71,light rain
26,Port Alfred,ZA,-33.5906,26.891,55.18,75,0,4.0,clear sky
27,Flinders,AU,-34.5833,150.8552,70.05,72,29,4.0,scattered clouds
28,Cabo San Lucas,MX,22.8909,-109.9124,86.5,73,100,1.92,overcast clouds
29,Hami,CN,42.8,93.45,77.88,22,100,9.82,overcast clouds
30,Port Elizabeth,ZA,-33.918,25.5701,53.31,83,2,4.0,clear sky
31,Victoria,HK,22.2855,114.1577,89.33,77,80,5.99,broken clouds
32,Waipawa,NZ,-41.4122,175.5153,55.94,71,31,14.5,scattered clouds
33,Hermanus,ZA,-34.4187,19.2345,59.81,48,69,3.51,broken clouds
34,Tuatapere,NZ,-46.1333,167.6833,57.47,79,69,2.55,broken clouds
35,Butaritari,KI,3.0707,172.7902,82.26,71,6,18.72,clear sky
